athlete_id,event_id,race_id,splitsMissing,maxConsecutiveSplitsMissing
4d325944-3693-5adf-a199-43b47210f9db,Stage 1,78a14be0-36cc-4ce4-bb5a-b81744a7390e,1,1
4d325944-3693-5adf-a199-43b47210f9db,Stage 2,78a14be0-36cc-4ce4-bb5a-b81744a7390e,0,0
4d325944-3693-5adf-a199-43b47210f9db,Stage 3,78a14be0-36cc-4ce4-bb5a-b81744a7390e,0,0
4d325944-3693-5adf-a199-43b47210f9db,Stage 4,78a14be0-36cc-4ce4-bb5a-b81744a7390e,1,1
4d325944-3693-5adf-a199-43b47210f9db,Stage 5,78a14be0-36cc-4ce4-bb5a-b81744a7390e,1,1
4d325944-3693-5adf-a199-43b47210f9db,Stage 6,78a14be0-36cc-4ce4-bb5a-b81744a7390e,0,0
2dfb8a44-1e83-51ee-8f44-32afd1390aa5,Stage 1,78a14be0-36cc-4ce4-bb5a-b81744a7390e,1,1
2dfb8a44-1e83-51ee-8f44-32afd1390aa5,Stage 2,78a14be0-36cc-4ce4-bb5a-b81744a7390e,0,0
2dfb8a44-1e83-51ee-8f44-32afd1390aa5,Stage 3,78a14be0-36cc-4ce4-bb5a-b81744a7390e,0,0
2dfb8a44-1e83-51ee-8f44-32afd1390aa5,Stage 4,78a14be0-36cc-4ce4-bb5a-b81744a7390e,1,1
2dfb8a44-1e83-51ee-8f44-32afd1390aa5,Stage 5,78a14be0-36cc-4ce4-bb5a-b81744a7390e,1,1
2dfb8a44-1e83-51ee-8f44-32afd1390aa5,Stage 6,78a14be0-36cc-4ce4-bb5a-b81744a7390e,0,0
c0150cab-39fc-575b-8006-e0594ad1d493,Stage 1,78a14be0-36cc-4ce4-bb5a-b81744a7390e,1,1
c0150cab-39fc-575b-8006-e0594ad1d493,Stage 2,78a14be0-36cc-4ce4-bb5a-b81744a7390e,0,0
c0150cab-39fc-575b-8006-e0594ad1d493,Stage 3,78a14be0-36cc-4ce4-bb5a-b81744a7390e,0,0
c0150cab-39fc-575b-8006-e0594ad1d493,Stage 4,78a14be0-36cc-4ce4-bb5a-b81744a7390e,1,1
c0150cab-39fc-575b-8006-e0594ad1d493,Stage 5,78a14be0-36cc-4ce4-bb5a-b81744a7390e,1,1
c0150cab-39fc-575b-8006-e0594ad1d493,Stage 6,78a14be0-36cc-4ce4-bb5a-b81744a7390e,0,0
c3f36a18-96ff-5ac5-bbc9-8dc4033c6758,Stage 1,78a14be0-36cc-4ce4-bb5a-b81744a7390e,1,1
c3f36a18-96ff-5ac5-bbc9-8dc4033c6758,Stage 2,78a14be0-36cc-4ce4-bb5a-b81744a7390e,0,0
c3f36a18-96ff-5ac5-bbc9-8dc4033c6758,Stage 3,78a14be0-36cc-4ce4-bb5a-b81744a7390e,0,0
c3f36a18-96ff-5ac5-bbc9-8dc4033c6758,Stage 4,78a14be0-36cc-4ce4-bb5a-b81744a7390e,1,1
c3f36a18-96ff-5ac5-bbc9-8dc4033c6758,Stage 5,78a14be0-36cc-4ce4-bb5a-b81744a7390e,0,0
c3f36a18-96ff-5ac5-bbc9-8dc4033c6758,Stage 6,78a14be0-36cc-4ce4-bb5a-b81744a7390e,0,0
9be58f71-d43d-590d-ad23-88c06ac9f9ab,Stage 1,78a14be0-36cc-4ce4-bb5a-b81744a7390e,1,1
9be58f71-d43d-590d-ad23-88c06ac9f9ab,Stage 2,78a14be0-36cc-4ce4-bb5a-b81744a7390e,0,0
9be58f71-d43d-590d-ad23-88c06ac9f9ab,Stage 3,78a14be0-36cc-4ce4-bb5a-b81744a7390e,0,0
9be58f71-d43d-590d-ad23-88c06ac9f9ab,Stage 4,78a14be0-36cc-4ce4-bb5a-b81744a7390e,1,1
9be58f71-d43d-590d-ad23-88c06ac9f9ab,Stage 5,78a14be0-36cc-4ce4-bb5a-b81744a7390e,1,1
9be58f71-d43d-590d-ad23-88c06ac9f9ab,Stage 6,78a14be0-36cc-4ce4-bb5a-b81744a7390e,0,0
9bdc6eb2-53dc-5644-9347-f3a6987ecef1,Stage 1,78a14be0-36cc-4ce4-bb5a-b81744a7390e,1,1
9bdc6eb2-53dc-5644-9347-f3a6987ecef1,Stage 2,78a14be0-36cc-4ce4-bb5a-b81744a7390e,0,0
9bdc6eb2-53dc-5644-9347-f3a6987ecef1,Stage 3,78a14be0-36cc-4ce4-bb5a-b81744a7390e,0,0
9bdc6eb2-53dc-5644-9347-f3a6987ecef1,Stage 4,78a14be0-36cc-4ce4-bb5a-b81744a7390e,1,1
9bdc6eb2-53dc-5644-9347-f3a6987ecef1,Stage 5,78a14be0-36cc-4ce4-bb5a-b81744a7390e,1,1
9bdc6eb2-53dc-5644-9347-f3a6987ecef1,Stage 6,78a14be0-36cc-4ce4-bb5a-b81744a7390e,0,0
31e99d27-5421-528d-866e-f02331e23ebf,Stage 1,78a14be0-36cc-4ce4-bb5a-b81744a7390e,1,1
31e99d27-5421-528d-866e-f02331e23ebf,Stage 2,78a14be0-36cc-4ce4-bb5a-b81744a7390e,0,0
31e99d27-5421-528d-866e-f02331e23ebf,Stage 3,78a14be0-36cc-4ce4-bb5a-b81744a7390e,0,0
31e99d27-5421-528d-866e-f02331e23ebf,Stage 4,78a14be0-36cc-4ce4-bb5a-b81744a7390e,1,1
31e99d27-5421-528d-866e-f02331e23ebf,Stage 5,78a14be0-36cc-4ce4-bb5a-b81744a7390e,0,0
31e99d27-5421-528d-866e-f02331e23ebf,Stage 6,78a14be0-36cc-4ce4-bb5a-b81744a7390e,0,0
da69019e-28b3-51cb-80e0-7d236f506860,Stage 1,78a14be0-36cc-4ce4-bb5a-b81744a7390e,1,1
da69019e-28b3-51cb-80e0-7d236f506860,Stage 2,78a14be0-36cc-4ce4-bb5a-b81744a7390e,0,0
da69019e-28b3-51cb-80e0-7d236f506860,Stage 3,78a14be0-36cc-4ce4-bb5a-b81744a7390e,0,0
da69019e-28b3-51cb-80e0-7d236f506860,Stage 4,78a14be0-36cc-4ce4-bb5a-b81744a7390e,1,1
da69019e-28b3-51cb-80e0-7d236f506860,Stage 5,78a14be0-36cc-4ce4-bb5a-b81744a7390e,1,1
da69019e-28b3-51cb-80e0-7d236f506860,Stage 6,78a14be0-36cc-4ce4-bb5a-b81744a7390e,0,0
bf8112a8-bb18-5aa8-96d7-e0d9d39670dd,Stage 1,78a14be0-36cc-4ce4-bb5a-b81744a7390e,1,1
bf8112a8-bb18-5aa8-96d7-e0d9d39670dd,Stage 2,78a14be0-36cc-4ce4-bb5a-b81744a7390e,0,0
bf8112a8-bb18-5aa8-96d7-e0d9d39670dd,Stage 3,78a14be0-36cc-4ce4-bb5a-b81744a7390e,0,0
bf8112a8-bb18-5aa8-96d7-e0d9d39670dd,Stage 4,78a14be0-36cc-4ce4-bb5a-b81744a7390e,1,1
bf8112a8-bb18-5aa8-96d7-e0d9d39670dd,Stage 5,78a14be0-36cc-4ce4-bb5a-b81744a7390e,1,1
bf8112a8-bb18-5aa8-96d7-e0d9d39670dd,Stage 6,78a14be0-36cc-4ce4-bb5a-b81744a7390e,0,0
b5793b4a-1d90-5878-a6fd-fb87a01b443f,Stage 1,78a14be0-36cc-4ce4-bb5a-b81744a7390e,1,1
b5793b4a-1d90-5878-a6fd-fb87a01b443f,Stage 2,78a14be0-36cc-4ce4-bb5a-b81744a7390e,0,0
b5793b4a-1d90-5878-a6fd-fb87a01b443f,Stage 3,78a14be0-36cc-4ce4-bb5a-b81744a7390e,0,0
b5793b4a-1d90-5878-a6fd-fb87a01b443f,Stage 4,78a14be0-36cc-4ce4-bb5a-b81744a7390e,1,1
b5793b4a-1d90-5878-a6fd-fb87a01b443f,Stage 5,78a14be0-36cc-4ce4-bb5a-b81744a7390e,0,0
b5793b4a-1d90-5878-a6fd-fb87a01b443f,Stage 6,78a14be0-36cc-4ce4-bb5a-b81744a7390e,0,0
81989c73-c3c2-55f9-b783-6a88a7a39640,Stage 1,78a14be0-36cc-4ce4-bb5a-b81744a7390e,1,1
81989c73-c3c2-55f9-b783-6a88a7a39640,Stage 2,78a14be0-36cc-4ce4-bb5a-b81744a7390e,0,0
81989c73-c3c2-55f9-b783-6a88a7a39640,Stage 3,78a14be0-36cc-4ce4-bb5a-b81744a7390e,0,0
81989c73-c3c2-55f9-b783-6a88a7a39640,Stage 4,78a14be0-36cc-4ce4-bb5a-b81744a7390e,1,1
81989c73-c3c2-55f9-b783-6a88a7a39640,Stage 5,78a14be0-36cc-4ce4-bb5a-b81744a7390e,1,1
81989c73-c3c2-55f9-b783-6a88a7a39640,Stage 6,78a14be0-36cc-4ce4-bb5a-b81744a7390e,0,0
669a5031-96a3-59c2-be22-615414e928bd,Stage 1,78a14be0-36cc-4ce4-bb5a-b81744a7390e,1,1
669a5031-96a3-59c2-be22-615414e928bd,Stage 2,78a14be0-36cc-4ce4-bb5a-b81744a7390e,0,0
669a5031-96a3-59c2-be22-615414e928bd,Stage 3,78a14be0-36cc-4ce4-bb5a-b81744a7390e,0,0
669a5031-96a3-59c2-be22-615414e928bd,Stage 4,78a14be0-36cc-4ce4-bb5a-b81744a7390e,2,2
669a5031-96a3-59c2-be22-615414e928bd,Stage 5,78a14be0-36cc-4ce4-bb5a-b81744a7390e,1,1
669a5031-96a3-59c2-be22-615414e928bd,Stage 6,78a14be0-36cc-4ce4-bb5a-b81744a7390e,0,0
8a4c899d-6db3-58b5-a086-a8e6154b1347,Stage 1,78a14be0-36cc-4ce4-bb5a-b81744a7390e,1,1
8a4c899d-6db3-58b5-a086-a8e6154b1347,Stage 2,78a14be0-36cc-4ce4-bb5a-b81744a7390e,0,0
8a4c899d-6db3-58b5-a086-a8e6154b1347,Stage 3,78a14be0-36cc-4ce4-bb5a-b81744a7390e,0,0
8a4c899d-6db3-58b5-a086-a8e6154b1347,Stage 4,78a14be0-36cc-4ce4-bb5a-b81744a7390e,1,1
8a4c899d-6db3-58b5-a086-a8e6154b1347,Stage 5,78a14be0-36cc-4ce4-bb5a-b81744a7390e,0,0
8a4c899d-6db3-58b5-a086-a8e6154b1347,Stage 6,78a14be0-36cc-4ce4-bb5a-b81744a7390e,0,0
f9bac489-e75d-5587-953a-043f2ee9c4ca,Stage 1,78a14be0-36cc-4ce4-bb5a-b81744a7390e,1,1
f9bac489-e75d-5587-953a-043f2ee9c4ca,Stage 2,78a14be0-36cc-4ce4-bb5a-b81744a7390e,0,0
f9bac489-e75d-5587-953a-043f2ee9c4ca,Stage 3,78a14be0-36cc-4ce4-bb5a-b81744a7390e,1,1
f9bac489-e75d-5587-953a-043f2ee9c4ca,Stage 4,78a14be0-36cc-4ce4-bb5a-b81744a7390e,1,1
f9bac489-e75d-5587-953a-043f2ee9c4ca,Stage 5,78a14be0-36cc-4ce4-bb5a-b81744a7390e,0,0
f9bac489-e75d-5587-953a-043f2ee9c4ca,Stage 6,78a14be0-36cc-4ce4-bb5a-b81744a7390e,0,0
fd789e9a-b2b4-59d9-812d-77897e48c923,Stage 1,78a14be0-36cc-4ce4-bb5a-b81744a7390e,1,1
fd789e9a-b2b4-59d9-812d-77897e48c923,Stage 2,78a14be0-36cc-4ce4-bb5a-b81744a7390e,0,0
fd789e9a-b2b4-59d9-812d-77897e48c923,Stage 3,78a14be0-36cc-4ce4-bb5a-b81744a7390e,0,0
fd789e9a-b2b4-59d9-812d-77897e48c923,Stage 4,78a14be0-36cc-4ce4-bb5a-b81744a7390e,1,1
fd789e9a-b2b4-59d9-812d-77897e48c923,Stage 5,78a14be0-36cc-4ce4-bb5a-b81744a7390e,1,1
fd789e9a-b2b4-59d9-812d-77897e48c923,Stage 6,78a14be0-36cc-4ce4-bb5a-b81744a7390e,0,0
5256b0ef-8346-5953-871e-e7461b59c131,Stage 1,78a14be0-36cc-4ce4-bb5a-b81744a7390e,1,1
5256b0ef-8346-5953-871e-e7461b59c131,Stage 2,78a14be0-36cc-4ce4-bb5a-b81744a7390e,0,0
5256b0ef-8346-5953-871e-e7461b59c131,Stage 3,78a14be0-36cc-4ce4-bb5a-b81744a7390e,0,0
5256b0ef-8346-5953-871e-e7461b59c131,Stage 4,78a14be0-36cc-4ce4-bb5a-b81744a7390e,1,1
5256b0ef-8346-5953-871e-e7461b59c131,Stage 5,78a14be0-36cc-4ce4-bb5a-b81744a7390e,0,0
5256b0ef-8346-5953-871e-e7461b59c131,Stage 6,78a14be0-36cc-4ce4-bb5a-b81744a7390e,0,0
16499481-fbf9-5ce6-a627-f874797611ba,Stage 1,78a14be0-36cc-4ce4-bb5a-b81744a7390e,1,1
16499481-fbf9-5ce6-a627-f874797611ba,Stage 2,78a14be0-36cc-4ce4-bb5a-b81744a7390e,0,0
16499481-fbf9-5ce6-a627-f874797611ba,Stage 3,78a14be0-36cc-4ce4-bb5a-b81744a7390e,0,0
16499481-fbf9-5ce6-a627-f874797611ba,Stage 4,78a14be0-36cc-4ce4-bb5a-b81744a7390e,1,1
16499481-fbf9-5ce6-a627-f874797611ba,Stage 5,78a14be0-36cc-4ce4-bb5a-b81744a7390e,0,0
16499481-fbf9-5ce6-a627-f874797611ba,Stage 6,78a14be0-36cc-4ce4-bb5a-b81744a7390e,0,0
26d88625-694b-5087-8cda-7a0645b3be29,Stage 1,78a14be0-36cc-4ce4-bb5a-b81744a7390e,1,1
26d88625-694b-5087-8cda-7a0645b3be29,Stage 2,78a14be0-36cc-4ce4-bb5a-b81744a7390e,0,0
26d88625-694b-5087-8cda-7a0645b3be29,Stage 3,78a14be0-36cc-4ce4-bb5a-b81744a7390e,0,0
26d88625-694b-5087-8cda-7a0645b3be29,Stage 4,78a14be0-36cc-4ce4-bb5a-b81744a7390e,1,1
26d88625-694b-5087-8cda-7a0645b3be29,Stage 5,78a14be0-36cc-4ce4-bb5a-b81744a7390e,0,0
26d88625-694b-5087-8cda-7a0645b3be29,Stage 6,78a14be0-36cc-4ce4-bb5a-b81744a7390e,0,0
523b588a-7846-5319-8ce6-b07b728ee8ad,Stage 1,78a14be0-36cc-4ce4-bb5a-b81744a7390e,0,0
523b588a-7846-5319-8ce6-b07b728ee8ad,Stage 2,78a14be0-36cc-4ce4-bb5a-b81744a7390e,0,0
523b588a-7846-5319-8ce6-b07b728ee8ad,Stage 3,78a14be0-36cc-4ce4-bb5a-b81744a7390e,0,0
523b588a-7846-5319-8ce6-b07b728ee8ad,Stage 4,78a14be0-36cc-4ce4-bb5a-b81744a7390e,1,1
523b588a-7846-5319-8ce6-b07b728ee8ad,Stage 5,78a14be0-36cc-4ce4-bb5a-b81744a7390e,1,1
523b588a-7846-5319-8ce6-b07b728ee8ad,Stage 6,78a14be0-36cc-4ce4-bb5a-b81744a7390e,0,0
496b08ff-62c0-5a60-849f-1a99bcfe0f9e,Stage 1,78a14be0-36cc-4ce4-bb5a-b81744a7390e,1,1
496b08ff-62c0-5a60-849f-1a99bcfe0f9e,Stage 2,78a14be0-36cc-4ce4-bb5a-b81744a7390e,0,0
496b08ff-62c0-5a60-849f-1a99bcfe0f9e,Stage 3,78a14be0-36cc-4ce4-bb5a-b81744a7390e,0,0
496b08ff-62c0-5a60-849f-1a99bcfe0f9e,Stage 4,78a14be0-36cc-4ce4-bb5a-b81744a7390e,1,1
