athlete_id,event_id,race_id,netTime
4242,Medio Maratón,01675eec-4b8b-4b92-80b7-5e22a1878f38,10290919.0
4390,Medio Maratón,01675eec-4b8b-4b92-80b7-5e22a1878f38,9945121.0
5968,Medio Maratón,01675eec-4b8b-4b92-80b7-5e22a1878f38,9950497.0
6675,Medio Maratón,01675eec-4b8b-4b92-80b7-5e22a1878f38,10519242.0
6957,Medio Maratón,01675eec-4b8b-4b92-80b7-5e22a1878f38,10019182.0
7073,Medio Maratón,01675eec-4b8b-4b92-80b7-5e22a1878f38,10300280.0
8407,Medio Maratón,01675eec-4b8b-4b92-80b7-5e22a1878f38,11106130.0
8780,Medio Maratón,01675eec-4b8b-4b92-80b7-5e22a1878f38,11360264.0
9052,Medio Maratón,01675eec-4b8b-4b92-80b7-5e22a1878f38,9964433.0
10379,Medio Maratón,01675eec-4b8b-4b92-80b7-5e22a1878f38,10220888.0
11157,Medio Maratón,01675eec-4b8b-4b92-80b7-5e22a1878f38,10318179.0
12111,Medio Maratón,01675eec-4b8b-4b92-80b7-5e22a1878f38,10054817.0
12423,Medio Maratón,01675eec-4b8b-4b92-80b7-5e22a1878f38,10524149.0
13171,Medio Maratón,01675eec-4b8b-4b92-80b7-5e22a1878f38,9720401.0
13390,Medio Maratón,01675eec-4b8b-4b92-80b7-5e22a1878f38,10907418.0
14726,Medio Maratón,01675eec-4b8b-4b92-80b7-5e22a1878f38,10183589.0
14878,Medio Maratón,01675eec-4b8b-4b92-80b7-5e22a1878f38,10235707.0
14908,Medio Maratón,01675eec-4b8b-4b92-80b7-5e22a1878f38,9788532.0
14987,Medio Maratón,01675eec-4b8b-4b92-80b7-5e22a1878f38,11227960.0
15430,Medio Maratón,01675eec-4b8b-4b92-80b7-5e22a1878f38,10502158.0
15515,Medio Maratón,01675eec-4b8b-4b92-80b7-5e22a1878f38,10674827.0
15544,Medio Maratón,01675eec-4b8b-4b92-80b7-5e22a1878f38,10337531.0
15558,Medio Maratón,01675eec-4b8b-4b92-80b7-5e22a1878f38,9975352.0
