athlete_id,race_id,split,fold,valor_real,valor_imputado,abs_error,race_athlete_id,gender,age,age_group,rel_error,rel_error_pct
48ZD1A3Z,49603c2f-1b2b-457f-b82e-fed8bded1d3d,Media,4,135.0079999999998,362.71906,227.71105517578144,48ZD1A3Z_49603c2f-1b2b-457f-b82e-fed8bded1d3d,0.0,55.70704996577687,50-60,-1.6866485948175898,168.66485948175898
8A9Y52CB,49603c2f-1b2b-457f-b82e-fed8bded1d3d,Media,4,899.7930000000006,434.3029,465.49011303710995,8A9Y52CB_49603c2f-1b2b-457f-b82e-fed8bded1d3d,0.0,32.13141683778234,30-40,0.5173302220841676,51.733022208416756
AB13C75F,49603c2f-1b2b-457f-b82e-fed8bded1d3d,Media,5,383.3649999999998,593.43085,210.06584716796897,AB13C75F_49603c2f-1b2b-457f-b82e-fed8bded1d3d,0.0,50.71321013004791,50-60,-0.5479525950987088,54.795259509870874
L2583614,49603c2f-1b2b-457f-b82e-fed8bded1d3d,Media,5,856.969,426.26035,430.7086545410157,L2583614_49603c2f-1b2b-457f-b82e-fed8bded1d3d,0.0,24.947296372347708,20-30,0.5025953728062745,50.259537280627455
C279DB3C,49603c2f-1b2b-457f-b82e-fed8bded1d3d,25K,5,610.1490000000003,1228.2412,618.0922109374997,C279DB3C_49603c2f-1b2b-457f-b82e-fed8bded1d3d,0.0,43.83846680355921,40-50,-1.0130184756911522,101.30184756911522
1F63FC63,49603c2f-1b2b-457f-b82e-fed8bded1d3d,30K,1,1477.96,3375.8674,1897.907431640625,1F63FC63_49603c2f-1b2b-457f-b82e-fed8bded1d3d,0.0,41.83436002737851,40-50,-1.2841399160711284,128.41399160711285
8YB3D2A5,49603c2f-1b2b-457f-b82e-fed8bded1d3d,30K,1,1340.6989999999996,2115.9045,775.2055410156254,8YB3D2A5_49603c2f-1b2b-457f-b82e-fed8bded1d3d,0.0,33.48117727583847,30-40,-0.5782099788523863,57.82099788523863
D1A73644,49603c2f-1b2b-457f-b82e-fed8bded1d3d,30K,1,1331.5100000000002,2055.1355,723.6254980468748,D1A73644_49603c2f-1b2b-457f-b82e-fed8bded1d3d,0.0,40.616016427104725,40-50,-0.5434623078335216,54.346230783352155
64861Z1Z,49603c2f-1b2b-457f-b82e-fed8bded1d3d,30K,3,1466.911,2539.8945,1072.98353125,64861Z1Z_49603c2f-1b2b-457f-b82e-fed8bded1d3d,0.0,35.62765229295003,30-40,-0.7314578256748651,73.1457825674865
A1A3D82B,49603c2f-1b2b-457f-b82e-fed8bded1d3d,30K,3,1274.3000000000002,1998.266,723.9659912109373,A1A3D82B_49603c2f-1b2b-457f-b82e-fed8bded1d3d,0.0,25.560574948665298,20-30,-0.5681283768679344,56.812837686793436
A4687ZA6,49603c2f-1b2b-457f-b82e-fed8bded1d3d,30K,3,3332.080000000001,1205.0225,2127.057539062501,A4687ZA6_49603c2f-1b2b-457f-b82e-fed8bded1d3d,0.0,39.35934291581109,30-40,0.6383572838659766,63.83572838659766
Y196Y4Z2,49603c2f-1b2b-457f-b82e-fed8bded1d3d,30K,4,6497.669999999999,1378.8491,5118.820878906249,Y196Y4Z2_49603c2f-1b2b-457f-b82e-fed8bded1d3d,0.0,30.001368925393567,30-40,0.7877932979234797,78.77932979234798
78FF34BC,49603c2f-1b2b-457f-b82e-fed8bded1d3d,30K,5,1225.46,2009.6301,784.170126953125,78FF34BC_49603c2f-1b2b-457f-b82e-fed8bded1d3d,0.0,43.37850787132101,40-50,-0.6398985901728546,63.989859017285454
DF3CF53Z,49603c2f-1b2b-457f-b82e-fed8bded1d3d,30K,5,1128.2700000000004,2095.5505,967.2805371093746,DF3CF53Z_49603c2f-1b2b-457f-b82e-fed8bded1d3d,0.0,28.635181382614647,20-30,-0.8573129979987602,85.73129979987601
DYBC9A76,49603c2f-1b2b-457f-b82e-fed8bded1d3d,35K,1,901.1489999999994,2047.6982,1146.5492421875006,DYBC9A76_49603c2f-1b2b-457f-b82e-fed8bded1d3d,0.0,19.003422313483917,<20,-1.2723192734111473,127.23192734111473
FCY2284D,49603c2f-1b2b-457f-b82e-fed8bded1d3d,35K,1,7616.140000000001,2204.8022,5411.337753906251,FCY2284D_49603c2f-1b2b-457f-b82e-fed8bded1d3d,0.0,44.24914442162902,40-50,0.7105092281911495,71.05092281911494
15CF71C8,49603c2f-1b2b-457f-b82e-fed8bded1d3d,35K,2,2202.1800000000003,3524.3064,1322.1263964843747,15CF71C8_49603c2f-1b2b-457f-b82e-fed8bded1d3d,0.0,53.05133470225873,50-60,-0.600371629877668,60.0371629877668
3FA48DA7,49603c2f-1b2b-457f-b82e-fed8bded1d3d,35K,2,976.3809999999994,2861.7104,1885.3294492187506,3FA48DA7_49603c2f-1b2b-457f-b82e-fed8bded1d3d,0.0,25.776865160848732,20-30,-1.930936230106706,193.0936230106706
3YACDBB3,49603c2f-1b2b-457f-b82e-fed8bded1d3d,35K,2,854.4679999999998,1468.4031,613.9350761718752,3YACDBB3_49603c2f-1b2b-457f-b82e-fed8bded1d3d,0.0,33.4757015742642,30-40,-0.7184997863622459,71.84997863622459
5A5Z6225,49603c2f-1b2b-457f-b82e-fed8bded1d3d,35K,2,1778.6900000000005,2985.9148,1207.2247949218745,5A5Z6225_49603c2f-1b2b-457f-b82e-fed8bded1d3d,1.0,24.87337440109514,20-30,-0.6787156807780773,67.87156807780774
AC8711F4,49603c2f-1b2b-457f-b82e-fed8bded1d3d,35K,2,1332.369999999999,2199.639,867.268916015626,AC8711F4_49603c2f-1b2b-457f-b82e-fed8bded1d3d,0.0,37.00479123887748,30-40,-0.6509219776523824,65.09219776523824
DYY89BF8,49603c2f-1b2b-457f-b82e-fed8bded1d3d,35K,2,855.3800000000001,1687.0594,831.6794482421874,DYY89BF8_49603c2f-1b2b-457f-b82e-fed8bded1d3d,0.0,50.88569472963724,50-60,-0.9722923697887429,97.22923697887428
F8A1D39B,49603c2f-1b2b-457f-b82e-fed8bded1d3d,35K,2,1051.7209999999995,2000.6888,948.967842773438,F8A1D39B_49603c2f-1b2b-457f-b82e-fed8bded1d3d,1.0,29.420944558521562,20-30,-0.9022999843790684,90.22999843790684
3Z1888CB,49603c2f-1b2b-457f-b82e-fed8bded1d3d,35K,3,674.8069999999989,1738.818,1064.0109931640636,3Z1888CB_49603c2f-1b2b-457f-b82e-fed8bded1d3d,0.0,65.0403832991102,60+,-1.5767634176694996,157.67634176694995
7D152B6Y,49603c2f-1b2b-457f-b82e-fed8bded1d3d,35K,3,1241.6560000000009,2022.1003,780.4443417968741,7D152B6Y_49603c2f-1b2b-457f-b82e-fed8bded1d3d,0.0,41.24024640657084,40-50,-0.6285511777564176,62.85511777564176
FDBD1598,49603c2f-1b2b-457f-b82e-fed8bded1d3d,35K,3,1814.6850000000013,2902.268,1087.5830664062487,FDBD1598_49603c2f-1b2b-457f-b82e-fed8bded1d3d,0.0,21.374401095140314,20-30,-0.5993233347974577,59.93233347974577
14CFFYDZ,49603c2f-1b2b-457f-b82e-fed8bded1d3d,35K,4,1207.299000000001,2822.677,1615.378001953124,14CFFYDZ_49603c2f-1b2b-457f-b82e-fed8bded1d3d,0.0,33.086926762491444,30-40,-1.3380098886979224,133.80098886979223
6475A911,49603c2f-1b2b-457f-b82e-fed8bded1d3d,35K,4,477.78000000000065,1416.4149,938.6349169921868,6475A911_49603c2f-1b2b-457f-b82e-fed8bded1d3d,1.0,52.375085557837096,50-60,-1.964575568310959,196.4575568310959
79YDCZCC,49603c2f-1b2b-457f-b82e-fed8bded1d3d,35K,4,1968.0919999999987,2973.0916,1004.9995527343763,79YDCZCC_49603c2f-1b2b-457f-b82e-fed8bded1d3d,0.0,35.96167008898015,30-40,-0.5106466324865556,51.06466324865556
7Y43DCF8,49603c2f-1b2b-457f-b82e-fed8bded1d3d,35K,4,1344.7510000000002,2492.2668,1147.5158457031248,7Y43DCF8_49603c2f-1b2b-457f-b82e-fed8bded1d3d,0.0,57.63175906913073,50-60,-0.8533296088642395,85.33296088642395
A6ACC7DB,49603c2f-1b2b-457f-b82e-fed8bded1d3d,35K,4,858.8500000000004,2186.816,1327.9659179687496,A6ACC7DB_49603c2f-1b2b-457f-b82e-fed8bded1d3d,1.0,52.982888432580424,50-60,-1.5462140262240613,154.62140262240612
C3F85F51,49603c2f-1b2b-457f-b82e-fed8bded1d3d,35K,4,645.8799999999992,1948.659,1302.7790576171883,C3F85F51_49603c2f-1b2b-457f-b82e-fed8bded1d3d,1.0,32.38603696098563,30-40,-2.0170605307489464,201.70605307489464
8C2YB7AF,49603c2f-1b2b-457f-b82e-fed8bded1d3d,35K,5,579.6799999999994,1356.2764,776.5963671875006,8C2YB7AF_49603c2f-1b2b-457f-b82e-fed8bded1d3d,1.0,44.120465434633815,40-50,-1.3396983954040214,133.96983954040215
93DA6741,49603c2f-1b2b-457f-b82e-fed8bded1d3d,35K,5,824.7909999999993,2454.1436,1629.3525546875007,93DA6741_49603c2f-1b2b-457f-b82e-fed8bded1d3d,0.0,44.70636550308008,40-50,-1.9754732443880074,197.54732443880073
B43F8B47,49603c2f-1b2b-457f-b82e-fed8bded1d3d,35K,5,6547.51,1625.7454,4921.764638671875,B43F8B47_49603c2f-1b2b-457f-b82e-fed8bded1d3d,0.0,37.5523613963039,30-40,0.7517002093803865,75.17002093803865
C279DB3C,49603c2f-1b2b-457f-b82e-fed8bded1d3d,35K,5,700.4499999999989,1831.9995,1131.549511718751,C279DB3C_49603c2f-1b2b-457f-b82e-fed8bded1d3d,0.0,43.83846680355921,40-50,-1.6154607896399344,161.54607896399344
C911F9CD,49603c2f-1b2b-457f-b82e-fed8bded1d3d,35K,5,720.3300000000008,1481.654,761.3240527343742,C911F9CD_49603c2f-1b2b-457f-b82e-fed8bded1d3d,0.0,52.32032854209446,50-60,-1.0569100990899494,105.69100990899494
YC39Y58C,49603c2f-1b2b-457f-b82e-fed8bded1d3d,35K,5,1450.9519999999993,2306.3389,855.3868671875007,YC39Y58C_49603c2f-1b2b-457f-b82e-fed8bded1d3d,1.0,63.55099247091034,60+,-0.5895349167980513,58.953491679805126
YZ63Z5F8,49603c2f-1b2b-457f-b82e-fed8bded1d3d,35K,5,835.5830000000005,2466.5444,1630.9614335937495,YZ63Z5F8_49603c2f-1b2b-457f-b82e-fed8bded1d3d,1.0,44.851471594798085,40-50,-1.9518844108148012,195.18844108148014
A2BA8D18,49603c2f-1b2b-457f-b82e-fed8bded1d3d,40K,2,1695.326000000001,2622.6443,927.3182871093741,A2BA8D18_49603c2f-1b2b-457f-b82e-fed8bded1d3d,0.0,49.02395619438741,40-50,-0.5469852326705237,54.698523267052366
CAY4Y89A,49603c2f-1b2b-457f-b82e-fed8bded1d3d,40K,2,1739.3069999999989,2666.1086,926.8016425781261,CAY4Y89A_49603c2f-1b2b-457f-b82e-fed8bded1d3d,0.0,25.09240246406571,20-30,-0.5328568458847517,53.28568458847517
18CZF4CD,49603c2f-1b2b-457f-b82e-fed8bded1d3d,40K,3,1035.558000000001,1731.1182,695.5601640624991,18CZF4CD_49603c2f-1b2b-457f-b82e-fed8bded1d3d,0.0,57.40177960301163,50-60,-0.6716766838659174,67.16766838659174
46C28YZ7,49603c2f-1b2b-457f-b82e-fed8bded1d3d,40K,3,1339.3009999999995,2021.9664,682.665430664063,46C28YZ7_49603c2f-1b2b-457f-b82e-fed8bded1d3d,0.0,30.8145106091718,30-40,-0.5097177036038542,50.97177036038541
Z21CD4YZ,49603c2f-1b2b-457f-b82e-fed8bded1d3d,40K,4,237.03700000000026,2150.5068,1913.4698359374997,Z21CD4YZ_49603c2f-1b2b-457f-b82e-fed8bded1d3d,0.0,21.360711841204655,20-30,-8.072452097626302,807.2452097626302
93BZF2FB,49603c2f-1b2b-457f-b82e-fed8bded1d3d,40K,5,58.04100000000108,1606.9174,1548.8763583984364,93BZF2FB_49603c2f-1b2b-457f-b82e-fed8bded1d3d,0.0,46.74880219028063,40-50,-26.685900169061657,2668.5900169061656
AC7FAD7C,49603c2f-1b2b-457f-b82e-fed8bded1d3d,40K,5,415.09099999999853,1808.2484,1393.157413085939,AC7FAD7C_49603c2f-1b2b-457f-b82e-fed8bded1d3d,0.0,40.50924024640657,40-50,-3.3562698534289446,335.62698534289444
B43F8B47,49603c2f-1b2b-457f-b82e-fed8bded1d3d,40K,5,2017.2519999999986,3097.7917,1080.5397480468764,B43F8B47_49603c2f-1b2b-457f-b82e-fed8bded1d3d,0.0,37.5523613963039,30-40,-0.5356493623559316,53.564936235593166
C9BBA3Z8,49603c2f-1b2b-457f-b82e-fed8bded1d3d,40K,5,1414.690999999999,2389.3054,974.6144199218761,C9BBA3Z8_49603c2f-1b2b-457f-b82e-fed8bded1d3d,1.0,22.193018480492814,20-30,-0.6889238846030356,68.89238846030355
Z54A945D,49603c2f-1b2b-457f-b82e-fed8bded1d3d,40K,5,4611.695999999998,2206.1248,2405.571244140623,Z54A945D_49603c2f-1b2b-457f-b82e-fed8bded1d3d,0.0,31.45242984257358,30-40,0.521623984672667,52.162398467266705
26Z72ZB6,49603c2f-1b2b-457f-b82e-fed8bded1d3d,Meta,1,696.7070000000003,1080.5536,383.84658886718717,26Z72ZB6_49603c2f-1b2b-457f-b82e-fed8bded1d3d,0.0,28.06570841889117,20-30,-0.5509440673285081,55.09440673285081
28CB7A72,49603c2f-1b2b-457f-b82e-fed8bded1d3d,Meta,1,572.6949999999997,1118.2096,545.5145947265628,28CB7A72_49603c2f-1b2b-457f-b82e-fed8bded1d3d,1.0,53.46748802190281,50-60,-0.9525394734964049,95.25394734964048
6199F97A,49603c2f-1b2b-457f-b82e-fed8bded1d3d,Meta,1,749.0750000000007,1346.6016,597.5265624999993,6199F97A_49603c2f-1b2b-457f-b82e-fed8bded1d3d,0.0,37.87542778918549,30-40,-0.7976858948734277,79.76858948734277
DYBC9A76,49603c2f-1b2b-457f-b82e-fed8bded1d3d,Meta,1,671.0550000000003,1110.8065,439.7515185546872,DYBC9A76_49603c2f-1b2b-457f-b82e-fed8bded1d3d,0.0,19.003422313483917,<20,-0.655313674586097,65.53136745860971
DYD91C53,49603c2f-1b2b-457f-b82e-fed8bded1d3d,Meta,1,1520.7849999999999,573.5976,947.1874047851561,DYD91C53_49603c2f-1b2b-457f-b82e-fed8bded1d3d,0.0,22.198494182067076,20-30,0.6228279501456999,62.28279501456999
6181685Z,49603c2f-1b2b-457f-b82e-fed8bded1d3d,Meta,2,7586.074000000002,711.07404,6874.999964355471,6181685Z_49603c2f-1b2b-457f-b82e-fed8bded1d3d,1.0,25.828884325804243,20-30,0.9062658713122497,90.62658713122497
7BB7Z53B,49603c2f-1b2b-457f-b82e-fed8bded1d3d,Meta,2,798.1560000000027,1220.1443,421.9882871093723,7BB7Z53B_49603c2f-1b2b-457f-b82e-fed8bded1d3d,0.0,63.82477754962355,60+,-0.5287040209942253,52.870402099422535
A5FC3C7Y,49603c2f-1b2b-457f-b82e-fed8bded1d3d,Meta,2,2663.1460000000006,1194.0569,1469.0891152343756,A5FC3C7Y_49603c2f-1b2b-457f-b82e-fed8bded1d3d,0.0,37.190965092402465,30-40,0.5516367163808288,55.16367163808288
B4Y423B6,49603c2f-1b2b-457f-b82e-fed8bded1d3d,Meta,2,560.9199999999983,850.11993,289.199934082033,B4Y423B6_49603c2f-1b2b-457f-b82e-fed8bded1d3d,0.0,41.38261464750171,40-50,-0.5155814261685311,51.55814261685311
B566B91B,49603c2f-1b2b-457f-b82e-fed8bded1d3d,Meta,2,427.08799999999974,667.0853,239.99732714843776,B566B91B_49603c2f-1b2b-457f-b82e-fed8bded1d3d,0.0,31.274469541409992,30-40,-0.5619388196027495,56.19388196027495
C64359FA,49603c2f-1b2b-457f-b82e-fed8bded1d3d,Meta,2,756.6570000000011,1162.3337,405.67674023437394,C64359FA_49603c2f-1b2b-457f-b82e-fed8bded1d3d,0.0,55.26899383983573,50-60,-0.536143509804614,53.6143509804614
FCBA52YZ,49603c2f-1b2b-457f-b82e-fed8bded1d3d,Meta,2,801.2220000000016,1203.0934,401.8713837890609,FCBA52YZ_49603c2f-1b2b-457f-b82e-fed8bded1d3d,0.0,31.60574948665298,30-40,-0.5015730762354093,50.15730762354092
18CZF4CD,49603c2f-1b2b-457f-b82e-fed8bded1d3d,Meta,3,764.0759999999991,1678.4802,914.4042246093759,18CZF4CD_49603c2f-1b2b-457f-b82e-fed8bded1d3d,0.0,57.40177960301163,50-60,-1.1967451188267029,119.67451188267029
39ZF6ZBZ,49603c2f-1b2b-457f-b82e-fed8bded1d3d,Meta,3,1194.1270000000004,579.94336,614.1836406250004,39ZF6ZBZ_49603c2f-1b2b-457f-b82e-fed8bded1d3d,0.0,29.013004791238878,20-30,0.5143369508525167,51.43369508525167
