athlete_id,race_id,split,fold,valor_real,valor_imputado,abs_error,gender,age,age_group,rel_error,rel_error_pct
7ZBC537F,49603c2f-1b2b-457f-b82e-fed8bded1d3d,Meta,2,775.735999999999,1164.3561,388.62007910156353,1.0,52.62149212867899,50-60,-0.500969503285389,50.0969503285389
8925FD53,49603c2f-1b2b-457f-b82e-fed8bded1d3d,Meta,2,740.4539999999997,1118.7771,378.3230996093753,0.0,52.714579055441476,50-60,-0.5109339663212589,51.09339663212589
A92AY414,49603c2f-1b2b-457f-b82e-fed8bded1d3d,Meta,2,655.139000000001,1002.5969,347.45792382812397,0.0,25.308692676249144,20-30,-0.5303575627428162,53.03575627428162
DYBC9A76,49603c2f-1b2b-457f-b82e-fed8bded1d3d,Meta,2,671.0550000000003,1370.6476,699.5925830078122,0.0,19.003422313483917,<20,-1.0425264426392553,104.25264426392553
DYD91C53,49603c2f-1b2b-457f-b82e-fed8bded1d3d,Meta,2,1520.7849999999999,570.3043,950.4806787109374,0.0,22.198494182067076,20-30,0.6249934593554933,62.499345935549336
L94781D8,49603c2f-1b2b-457f-b82e-fed8bded1d3d,Meta,2,545.1449999999986,932.0923,386.9472851562514,0.0,18.546201232032853,<20,-0.7098061698198574,70.98061698198575
Y2FF5ZZ5,49603c2f-1b2b-457f-b82e-fed8bded1d3d,Meta,2,667.8780000000006,1920.2623,1252.384329101562,0.0,40.67898699520876,40-50,-1.875169308206576,187.5169308206576
YZC594Z5,49603c2f-1b2b-457f-b82e-fed8bded1d3d,Meta,2,709.273000000001,1676.9839,967.710886718749,1.0,38.92402464065709,30-40,-1.364370116096873,136.43701160968732
8CY31198,49603c2f-1b2b-457f-b82e-fed8bded1d3d,Meta,3,702.7849999999999,1622.2474,919.4624365234376,0.0,45.30047912388775,40-50,-1.3083125496633043,130.83125496633045
93BZF2FB,49603c2f-1b2b-457f-b82e-fed8bded1d3d,Meta,3,1615.2869999999984,756.81195,858.4750493164047,0.0,46.74880219028063,40-50,0.5314690508776065,53.14690508776066
978DF6F5,49603c2f-1b2b-457f-b82e-fed8bded1d3d,Meta,3,791.2530000000006,1209.9705,418.7174589843744,1.0,27.27173169062286,20-30,-0.5291827752377448,52.918277523774485
9B49A7FC,49603c2f-1b2b-457f-b82e-fed8bded1d3d,Meta,3,698.0259999999998,1481.701,783.6750498046877,0.0,49.66461327857632,40-50,-1.1227018029156306,112.27018029156307
B566B91B,49603c2f-1b2b-457f-b82e-fed8bded1d3d,Meta,3,427.08799999999974,671.48706,244.39906054687526,0.0,31.274469541409992,30-40,-0.5722452046759221,57.224520467592214
DYBC9A76,49603c2f-1b2b-457f-b82e-fed8bded1d3d,Meta,3,671.0550000000003,1279.8109,608.7559130859372,0.0,19.003422313483917,<20,-0.9071624713008241,90.71624713008241
DYD91C53,49603c2f-1b2b-457f-b82e-fed8bded1d3d,Meta,3,1520.7849999999999,568.2414,952.5436059570311,0.0,22.198494182067076,20-30,0.6263499477774184,62.63499477774184
DYY89BF8,49603c2f-1b2b-457f-b82e-fed8bded1d3d,Meta,3,650.4930000000004,979.0575,328.5644951171871,0.0,50.88569472963724,50-60,-0.5051007383816369,50.51007383816369
FCBA52YZ,49603c2f-1b2b-457f-b82e-fed8bded1d3d,Meta,3,801.2220000000016,1209.4993,408.2772675781234,0.0,31.60574948665298,30-40,-0.5095682183821143,50.95682183821143
FZB271FC,49603c2f-1b2b-457f-b82e-fed8bded1d3d,Meta,3,867.9850000000006,1757.3558,889.3708349609369,0.0,36.15605749486653,30-40,-1.0246384833105386,102.46384833105387
L5384444,49603c2f-1b2b-457f-b82e-fed8bded1d3d,Meta,3,819.3769999999986,1494.344,674.9669941406264,0.0,19.329226557152634,<20,-0.8237563335520417,82.37563335520417
YZC594Z5,49603c2f-1b2b-457f-b82e-fed8bded1d3d,Meta,3,709.273000000001,1191.6571,482.38410449218645,1.0,38.92402464065709,30-40,-0.6801106256858432,68.01106256858432
46C28YZ7,49603c2f-1b2b-457f-b82e-fed8bded1d3d,Meta,4,1644.1949999999997,578.0797,1066.1152880859372,0.0,30.8145106091718,30-40,0.6484117075149393,64.84117075149392
6181685Z,49603c2f-1b2b-457f-b82e-fed8bded1d3d,Meta,4,7586.074000000002,716.77783,6869.296167968752,1.0,25.828884325804243,20-30,0.9055139940716681,90.55139940716681
69D83387,49603c2f-1b2b-457f-b82e-fed8bded1d3d,Meta,4,1522.652,752.9622,769.6897807617188,1.0,51.290896646132786,50-60,0.5054929033398478,50.54929033398478
9AY83525,49603c2f-1b2b-457f-b82e-fed8bded1d3d,Meta,4,719.6720000000005,1098.8445,379.1724824218745,0.0,19.1129363449692,<20,-0.526868464932644,52.686846493264405
