
=== Evento(s): Stage 6 & Stage 3 & Stage 4 & Stage 2 & Stage 5 & Stage 1 ===
                                  athlete_id    split  netTime_sec         anomaly_type
163876  496b08ff-62c0-5a60-849f-1a99bcfe0f9e      EH3     9670.193  Velocidad imposible
163877  496b08ff-62c0-5a60-849f-1a99bcfe0f9e      CP4    11528.814  Velocidad imposible
163878  496b08ff-62c0-5a60-849f-1a99bcfe0f9e   Lastkm    12152.343  Velocidad imposible
163879  496b08ff-62c0-5a60-849f-1a99bcfe0f9e     Meta    12289.617  Velocidad imposible
163881  496b08ff-62c0-5a60-849f-1a99bcfe0f9e      CP1     1372.400  Velocidad imposible
163882  496b08ff-62c0-5a60-849f-1a99bcfe0f9e      EH1     2036.400  Velocidad imposible
163883  496b08ff-62c0-5a60-849f-1a99bcfe0f9e      CP2     3672.520  Velocidad imposible
163884  496b08ff-62c0-5a60-849f-1a99bcfe0f9e      CP3     4169.803  Velocidad imposible
163885  496b08ff-62c0-5a60-849f-1a99bcfe0f9e      EH2     6604.054  Velocidad imposible
163886  496b08ff-62c0-5a60-849f-1a99bcfe0f9e      CP4     7234.809  Velocidad imposible
163887  496b08ff-62c0-5a60-849f-1a99bcfe0f9e   Lastkm     8225.702  Velocidad imposible
163888  496b08ff-62c0-5a60-849f-1a99bcfe0f9e     Meta     8307.180  Velocidad imposible
163901  ab490c31-f0d4-55a8-9ec6-0733907f2d1a     Meta     9198.389  Velocidad imposible
163904  ab490c31-f0d4-55a8-9ec6-0733907f2d1a      EH1     3006.734  Velocidad imposible
163905  ab490c31-f0d4-55a8-9ec6-0733907f2d1a      CP2     4595.733  Velocidad imposible
163931  ab490c31-f0d4-55a8-9ec6-0733907f2d1a      CP1     1606.830  Velocidad imposible
163932  ab490c31-f0d4-55a8-9ec6-0733907f2d1a      EH1     2374.770  Velocidad imposible
163933  ab490c31-f0d4-55a8-9ec6-0733907f2d1a      CP2     4281.159  Velocidad imposible
163934  ab490c31-f0d4-55a8-9ec6-0733907f2d1a      CP3     4801.174  Velocidad imposible
164084  43de146f-2f5a-5450-ac8a-321b23662b90      CP1     1941.540  Velocidad imposible
164085  43de146f-2f5a-5450-ac8a-321b23662b90      EH1     2901.940  Velocidad imposible
164120  f4245c5a-8811-51c0-b718-8b016f6b8cb5     Meta    50686.272    Outlier de tiempo
164217  1bb9d1a9-95b8-5d44-a527-c665106f1ee2      CP1     7117.984    Outlier de tiempo
164268  2e9a0ae4-542a-5766-be7a-a00b2bae2033      CP1     5879.668    Outlier de tiempo
164272  2e9a0ae4-542a-5766-be7a-a00b2bae2033     Meta    50072.032    Outlier de tiempo
164438  59635e37-b511-5bce-9e13-f65986077948      CP1     1859.310  Velocidad imposible
164439  59635e37-b511-5bce-9e13-f65986077948      EH1     2752.560  Velocidad imposible
164499  628d8260-0f0b-5b1a-b234-fe48c5ff3246      EH1     9507.270    Outlier de tiempo
164500  628d8260-0f0b-5b1a-b234-fe48c5ff3246      CP2    11871.113    Outlier de tiempo
164540  628d8260-0f0b-5b1a-b234-fe48c5ff3246      CP1     2043.360  Velocidad imposible
164560  20f1cb50-15de-5a2c-bd03-f3cd2275b2a7     Meta     8830.407  Velocidad imposible
164563  20f1cb50-15de-5a2c-bd03-f3cd2275b2a7      EH1     3011.021  Velocidad imposible
164564  20f1cb50-15de-5a2c-bd03-f3cd2275b2a7      CP2     4546.988  Velocidad imposible
164581  20f1cb50-15de-5a2c-bd03-f3cd2275b2a7      CP1     2224.334  Velocidad imposible
164582  20f1cb50-15de-5a2c-bd03-f3cd2275b2a7      EH1     3091.539  Velocidad imposible
164590  20f1cb50-15de-5a2c-bd03-f3cd2275b2a7      CP1     1517.230  Velocidad imposible
164591  20f1cb50-15de-5a2c-bd03-f3cd2275b2a7      EH1     2240.120  Velocidad imposible
164592  20f1cb50-15de-5a2c-bd03-f3cd2275b2a7      CP2     3989.634  Velocidad imposible
164593  20f1cb50-15de-5a2c-bd03-f3cd2275b2a7      CP3     4475.768  Velocidad imposible
164594  20f1cb50-15de-5a2c-bd03-f3cd2275b2a7      EH2     7134.281  Velocidad imposible
164595  20f1cb50-15de-5a2c-bd03-f3cd2275b2a7      CP4     7843.810  Velocidad imposible
164610  bff9905a-e4ec-568d-847b-8590f0eb2558     Meta     8581.945  Velocidad imposible
164612  bff9905a-e4ec-568d-847b-8590f0eb2558      CP1     1674.601  Velocidad imposible
164613  bff9905a-e4ec-568d-847b-8590f0eb2558      EH1     2928.332  Velocidad imposible
164614  bff9905a-e4ec-568d-847b-8590f0eb2558      CP2     4431.934  Velocidad imposible
164616  bff9905a-e4ec-568d-847b-8590f0eb2558      CP3     8214.575  Velocidad imposible
164634  1783fbd8-d4b7-5e08-bc47-5dd46263d330     Meta     8751.110  Velocidad imposible
164637  1783fbd8-d4b7-5e08-bc47-5dd46263d330      EH1     3007.039  Velocidad imposible
164638  1783fbd8-d4b7-5e08-bc47-5dd46263d330      CP2     4576.015  Velocidad imposible
