
=== Evento(s): Marato ===
                                  athlete_id  split  netTime_sec       anomaly_type
359100                              22Y3A78Z    25K    12306.625  Outlier de tiempo
359101                              22Y3A78Z    30K    15042.763  Outlier de tiempo
359102                              22Y3A78Z    35K    17990.063  Outlier de tiempo
359103                              22Y3A78Z    40K    20904.799  Outlier de tiempo
359104                              22Y3A78Z   Meta    22003.741  Outlier de tiempo
360423                              BZ31YZ7Z    10K     4649.654  Outlier de tiempo
360424                              BZ31YZ7Z    15K     7005.897  Outlier de tiempo
360425                              BZ31YZ7Z    20K     9474.245  Outlier de tiempo
360426                              BZ31YZ7Z  Media    10038.631  Outlier de tiempo
360427                              BZ31YZ7Z    25K    12040.993  Outlier de tiempo
360428                              BZ31YZ7Z    30K    14785.123  Outlier de tiempo
360429                              BZ31YZ7Z    35K    17526.703  Outlier de tiempo
360430                              BZ31YZ7Z    40K    20253.156  Outlier de tiempo
360431                              BZ31YZ7Z   Meta    21338.478  Outlier de tiempo
362619                              D17FBF54     5K     2415.000  Outlier de tiempo
363031                              4521A43B    25K    14087.763  Outlier de tiempo
363032                              4521A43B    40K    21876.074  Outlier de tiempo
363373                              BCF3ZC1A     5K     2405.675  Outlier de tiempo
363374                              BCF3ZC1A    10K     4747.696  Outlier de tiempo
363375                              BCF3ZC1A    15K     7100.824  Outlier de tiempo
363376                              BCF3ZC1A    20K     9553.602  Outlier de tiempo
363377                              BCF3ZC1A  Media    10051.157  Outlier de tiempo
363378                              BCF3ZC1A    25K    12057.041  Outlier de tiempo
363379                              BCF3ZC1A    30K    14797.611  Outlier de tiempo
363380                              BCF3ZC1A    35K    17505.381  Outlier de tiempo
363381                              BCF3ZC1A    40K    20155.851  Outlier de tiempo
365363                              BYF9A696    20K     9393.969  Outlier de tiempo
365364                              BYF9A696  Media     9980.408  Outlier de tiempo
365365                              BYF9A696    25K    11880.205  Outlier de tiempo
365553                              5DADYC91    15K     7041.332  Outlier de tiempo
366103                              FF57Z375  Media     9920.073  Outlier de tiempo
366134                              F4A7736F    15K     7191.986  Outlier de tiempo
366135                              F4A7736F    20K     9818.160  Outlier de tiempo
366136                              F4A7736F  Media    10386.896  Outlier de tiempo
366137                              F4A7736F    25K    12504.478  Outlier de tiempo
366138                              F4A7736F    30K    15467.228  Outlier de tiempo
366139                              F4A7736F    35K    18338.658  Outlier de tiempo
366140                              F4A7736F    40K    21131.855  Outlier de tiempo
366141                              F4A7736F   Meta    22204.477  Outlier de tiempo
368448                              2ZYY8YA5     5K     2724.777  Outlier de tiempo
370828                              81CYF6FA    15K     7067.958  Outlier de tiempo
370829                              81CYF6FA    20K     9611.960  Outlier de tiempo
370830                              81CYF6FA  Media    10207.920  Outlier de tiempo
370831                              81CYF6FA    25K    12453.031  Outlier de tiempo
370832                              81CYF6FA    30K    15506.291  Outlier de tiempo
371349                              1BCY744Z    10K     4714.726  Outlier de tiempo
371350                              1BCY744Z    15K     7225.616  Outlier de tiempo
371351                              1BCY744Z    20K     9671.940  Outlier de tiempo
371352                              1BCY744Z  Media    10242.668  Outlier de tiempo
371353                              1BCY744Z    25K    12333.042  Outlier de tiempo
371354                              1BCY744Z    30K    14996.474  Outlier de tiempo
371355                              1BCY744Z    35K    17566.092  Outlier de tiempo
371356                              1BCY744Z    40K    20120.194  Outlier de tiempo
372390                              6D924BF7    10K     4870.448  Outlier de tiempo
372391                              6D924BF7    15K     7352.775  Outlier de tiempo
372392                              6D924BF7    20K     9467.090  Outlier de tiempo
372393                              6D924BF7  Media    10047.040  Outlier de tiempo
372394                              6D924BF7    25K    12479.038  Outlier de tiempo
372395                              6D924BF7    30K    15000.248  Outlier de tiempo
372396                              6D924BF7    35K    17245.274  Outlier de tiempo
372947                              Y7F661YB     5K      750.100  Outlier de tiempo
373223                              8665A5BC    40K    20237.382  Outlier de tiempo
373224                              8665A5BC   Meta    21534.121  Outlier de tiempo
374574                              18Z7ZDCA    20K     9873.936  Outlier de tiempo
374575                              18Z7ZDCA  Media    10413.045  Outlier de tiempo
374643                              5353Y727     5K     2367.508  Outlier de tiempo
374644                              5353Y727    10K     4735.346  Outlier de tiempo
374645                              5353Y727    15K     7110.802  Outlier de tiempo
374646                              5353Y727    20K     9404.435  Outlier de tiempo
374647                              5353Y727  Media     9915.394  Outlier de tiempo
